Year,mode,input_panel_orientation,capacity_source,round,received_demand_total,desired_output_total,realized_output_total,unmet_capacity_total,capacity_penalty_total,supplier_demand_total,absolute_supplier_demand_total,residual_share,mean_capacity_stress,median_capacity_stress,share_capacity_binding,share_capacity_missing,converged
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,0,28216445285.589195,28216445285.589195,28216445285.589195,0.0,0.0,9679510766.309814,9679510766.309814,0.3430450103951744,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,1,9679510766.309814,9679510766.309814,9678111978.917046,1398787.392771178,1398787.392771178,4706983737.589544,4706983737.589544,0.16681703488686833,0.9986325122311156,1.0,0.004069175991861648,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,2,4706983737.589544,4706983737.589544,4706625717.980204,358019.60934051516,358019.60934051516,2407727692.944248,2407727692.944248,0.08533065269472238,0.9989242868606484,1.0,0.002644964394710071,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,3,2407727692.944248,2407727692.944248,2407581611.477545,146081.4667031069,146081.4667031069,1255099992.5015225,1255099992.5015225,0.04448115203024995,0.9993213973338747,1.0,0.0016276703967446592,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,4,1255099992.5015225,1255099992.5015225,1255046240.0561047,53752.4454178993,53752.4454178993,660151542.4442961,660151542.4442961,0.023395985417817712,0.9995822675669089,1.0,0.0012207527975584944,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,5,660151542.4442961,660151542.4442961,660139962.345453,11580.098843058711,11580.098843058711,349480036.9470924,349480036.9470924,0.01238568619859356,0.9997462602252543,1.0,0.0006103763987792472,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,6,349480036.9470924,349480036.9470924,349475930.6968978,4106.250194645718,4106.250194645718,186190087.29462102,186190087.29462102,0.006598637263132245,0.9998349252860306,1.0,0.0006103763987792472,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,7,186190087.29462102,186190087.29462102,186188967.84041885,1119.4542021809368,1119.4542021809368,99945802.87204361,99945802.87204361,0.003542111767107967,0.9999241621366526,1.0,0.0002034587995930824,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,8,99945802.87204361,99945802.87204361,99945592.4130864,210.45895721273246,210.45895721273246,54191364.05313723,54191364.05313723,0.00192055957101067,0.9999728030613622,1.0,0.0002034587995930824,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,9,54191364.05313723,54191364.05313723,54191364.05313723,0.0,0.0,29804262.773577496,29804262.773577496,0.0010562727683064753,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,10,29804262.773577496,29804262.773577496,29804262.773577496,0.0,0.0,16735643.397740487,16735643.397740487,0.0005931166462803085,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,11,16735643.397740487,16735643.397740487,16735643.397740487,0.0,0.0,9684750.108403033,9684750.108403033,0.000343230694383366,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,12,9684750.108403033,9684750.108403033,9684750.108403033,0.0,0.0,5845724.453499734,5845724.453499734,0.0002071743763019392,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,13,5845724.453499734,5845724.453499734,5845724.453499734,0.0,0.0,3728453.1701411936,3728453.1701411936,0.00013213759325117407,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,14,3728453.1701411936,3728453.1701411936,3728453.1701411936,0.0,0.0,2538978.896895874,2538978.896895874,8.998223806003622e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,15,2538978.896895874,2538978.896895874,2538978.896895874,0.0,0.0,1852810.7717647122,1852810.7717647122,6.566421648835356e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,16,1852810.7717647122,1852810.7717647122,1852810.7717647122,0.0,0.0,1442130.2742530564,1442130.2742530564,5.1109566058258455e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,17,1442130.2742530564,1442130.2742530564,1442130.2742530564,0.0,0.0,1184127.2194957978,1184127.2194957978,4.1965853866807225e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,18,1184127.2194957978,1184127.2194957978,1184127.2194957978,0.0,0.0,1012236.2209126292,1012236.2209126292,3.5873980959238766e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,19,1012236.2209126292,1012236.2209126292,1012236.2209126292,0.0,0.0,890122.9108598401,890122.9108598401,3.154624552634371e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,20,890122.9108598401,890122.9108598401,890122.9108598401,0.0,0.0,797766.9167662226,797766.9167662226,2.8273119051380328e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,21,797766.9167662226,797766.9167662226,797766.9167662226,0.0,0.0,723994.0826757728,723994.0826757728,2.5658585812208374e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,22,723994.0826757728,723994.0826757728,723994.0826757728,0.0,0.0,662456.1265285959,662456.1265285959,2.3477660627468476e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,23,662456.1265285959,662456.1265285959,662456.1265285959,0.0,0.0,609458.129749161,609458.129749161,2.159939438085157e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,24,609458.129749161,609458.129749161,609458.129749161,0.0,0.0,562779.3237321699,562779.3237321699,1.9945082310548686e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,25,562779.3237321699,562779.3237321699,562779.3237321699,0.0,0.0,521029.50886697235,521029.50886697235,1.8465455290113187e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,26,521029.50886697235,521029.50886697235,521029.50886697235,0.0,0.0,483295.35065264435,483295.35065264435,1.712814444771591e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,27,483295.35065264435,483295.35065264435,483295.35065264435,0.0,0.0,448944.2182689479,448944.2182689479,1.591072914128678e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,28,448944.2182689479,448944.2182689479,448944.2182689479,0.0,0.0,417514.0865113249,417514.0865113249,1.4796835047275044e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,29,417514.0865113249,417514.0865113249,417514.0865113249,0.0,0.0,388650.7574341653,388650.7574341653,1.3773909275264322e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,30,388650.7574341653,388650.7574341653,388650.7574341653,0.0,0.0,362071.3154335036,362071.3154335036,1.2831925204214932e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,31,362071.3154335036,362071.3154335036,362071.3154335036,0.0,0.0,337542.282659711,337542.282659711,1.1962608303183458e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,32,337542.282659711,337542.282659711,337542.282659711,0.0,0.0,314866.1279478393,314866.1279478393,1.115895800342536e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,33,314866.1279478393,314866.1279478393,314866.1279478393,0.0,0.0,293872.6093423304,293872.6093423304,1.0414940874654331e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,34,293872.6093423304,293872.6093423304,293872.6093423304,0.0,0.0,274412.9785772753,274412.9785772753,9.725285229937326e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,35,274412.9785772753,274412.9785772753,274412.9785772753,0.0,0.0,256355.9289010645,256355.9289010645,9.085337515281967e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,36,256355.9289010645,256355.9289010645,256355.9289010645,0.0,0.0,239584.64110704573,239584.64110704573,8.490957620002093e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,37,239584.64110704573,239584.64110704573,239584.64110704573,0.0,0.0,223994.54791481147,223994.54791481147,7.93843964566333e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,38,223994.54791481147,223994.54791481147,223994.54791481147,0.0,0.0,209491.58727383616,209491.58727383616,7.424450002595772e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,39,209491.58727383616,209491.58727383616,209491.58727383616,0.0,0.0,195990.80176720858,195990.80176720858,6.945977772306624e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,40,195990.80176720858,195990.80176720858,195990.80176720858,0.0,0.0,183415.19211531675,183415.19211531675,6.500294075277839e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,41,183415.19211531675,183415.19211531675,183415.19211531675,0.0,0.0,171694.76330799673,171694.76330799673,6.084918265579163e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,42,171694.76330799673,171694.76330799673,171694.76330799673,0.0,0.0,160765.72074772758,160765.72074772758,5.697589441921461e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,43,160765.72074772758,160765.72074772758,160765.72074772758,0.0,0.0,150569.7858033096,150569.7858033096,5.336242190656424e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,44,150569.7858033096,150569.7858033096,150569.7858033096,0.0,0.0,141053.60809807232,141053.60809807232,4.998985757079462e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,45,141053.60809807232,141053.60809807232,141053.60809807232,0.0,0.0,132168.25726791105,132168.25726791105,4.6840860331691925e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,46,132168.25726791105,132168.25726791105,132168.25726791105,0.0,0.0,123868.7807460702,123868.7807460702,4.389949885336297e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,47,123868.7807460702,123868.7807460702,123868.7807460702,0.0,0.0,116113.81691507003,116113.81691507003,4.115111444401967e-06,1.0,1.0,0.0,0.0,False
